Version,Model,source,country,group,DateoA,WoAi,YoAi,WoDi,YoDi,wk2,zscore,DOTz,Spring,Automn,FLAG,k,ARL0,h
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,2,2010,2010-02,0.09586783,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,3,2010,2010-03,1.285564,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,4,2010,2010-04,0.8284931,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,5,2010,2010-05,0.348849,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,6,2010,2010-06,-0.7022167,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,7,2010,2010-07,0.8315095,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,8,2010,2010-08,0.3516592,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,9,2010,2010-09,-0.1559524,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,10,2010,2010-10,0.103081,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,11,2010,2010-11,0.8355126,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,12,2010,2010-12,0.8365101,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,13,2010,2010-13,0.6000069,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,14,2010,2010-14,0.1066848,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,15,2010,2010-15,0.8394943,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,16,2010,2010-16,0.3591291,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,17,2010,2010-17,-2.322721,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,18,2010,2010-18,0.1102862,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,19,2010,2010-19,0.6057777,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,20,2010,2010-20,1.303548,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,21,2010,2010-21,-0.145537,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,22,2010,2010-22,-0.6894457,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,23,2010,2010-23,0.3656354,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,24,2010,2010-24,1.307689,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,25,2010,2010-25,-0.976401,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,26,2010,2010-26,0.3684149,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,27,2010,2010-27,-0.4077955,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,28,2010,2010-28,-0.9740553,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,29,2010,2010-29,-0.9732702,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,30,2010,2010-30,0.1210739,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,31,2010,2010-31,-0.6821309,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
